Origin,Edge,Destination
<p class='com.whatsapp:id/fab' description='New chat'>  </p>\n<button class='com.whatsapp:id/home_tab_layout' description='Calls'> Calls </button>\n<button class='com.whatsapp:id/home_tab_layout' description='Status'> Status </button>\n<button class='com.whatsapp:id/home_tab_layout' description='Community'>  </button>\n<button class='com.whatsapp:id/menuitem_overflow' description='More options'>  </button>\n<p class='com.whatsapp:id/menuitem_search' description='Search'>  </p>\n<p class='com.whatsapp:id/menuitem_camera' description='Camera'>  </p>\n<p class='' description='end-to-end encrypted'>  </p>\n<button class='com.whatsapp:id/contact_photo' description='Yellow'>  </button>\n<button class='com.whatsapp:id/contact_photo' description='Wang Bowen'>  </button>\n,<p class='com.whatsapp:id/fab' description='New chat'>  </p>,"<p class='com.whatsapp:id/inviteNewContactList' > INVITE </p>\n<p class='com.whatsapp:id/inviteNewContactList' > INVITE </p>\n<button class='com.whatsapp:id/contactpicker_row_photo' description='���'>  </button>\n<p class='com.whatsapp:id/inviteNewContactList' > INVITE </p>\n<button class='com.whatsapp:id/contactpicker_row_photo' description='Yellow'>  </button>\n<p class='com.whatsapp:id/inviteNewContactList' > INVITE </p>\n<button class='com.whatsapp:id/contactpicker_row_photo' description='f'>  </button>\n<button class='' > Invite to WhatsApp </button>\n<button class='com.whatsapp:id/contactpicker_row_photo' description='����'>  </button>\n<button class='com.whatsapp:id/contactpicker_row_photo' description='Wang Bowen'>  </button>\n<button class='com.whatsapp:id/contactpicker_row_photo' description='+86 19805565778'>  </button>\n<button class='' > Contacts on WhatsApp </button>\n<button class='' > New community </button>\n<p4 class='com.whatsapp:id/contactpicker_button_two' description='Scan; share QR code'>  </p>\n<button5 class='' > New group </button>\n<button6 class='com.whatsapp:id/menuitem_overflow' description='More options'>  </button>\n<p7 class='com.whatsapp:id/menuitem_search' description='Search'>  </p>\n<p8 class='' description='Navigate up'>  </p>\n"
<p class='com.whatsapp:id/fab' description='New chat'>  </p>\n<button class='com.whatsapp:id/home_tab_layout' description='Calls'> Calls </button>\n<button class='com.whatsapp:id/home_tab_layout' description='Status'> Status </button>\n<button class='com.whatsapp:id/home_tab_layout' description='Community'>  </button>\n<button class='com.whatsapp:id/menuitem_overflow' description='More options'>  </button>\n<p class='com.whatsapp:id/menuitem_search' description='Search'>  </p>\n<p class='com.whatsapp:id/menuitem_camera' description='Camera'>  </p>\n<p class='' description='end-to-end encrypted'>  </p>\n<button class='com.whatsapp:id/contact_photo' description='Yellow'>  </button>\n<button class='com.whatsapp:id/contact_photo' description='Wang Bowen'>  </button>\n,<button class='com.whatsapp:id/home_tab_layout' description='Calls'> Calls </button>,<p class='com.whatsapp:id/fab' description='New call'>  </p>\n<button class='com.whatsapp:id/home_tab_layout' description='Status'> Status </button>\n<button class='com.whatsapp:id/home_tab_layout' description='Chats'> Chats </button>\n<button class='com.whatsapp:id/home_tab_layout' description='Community'>  </button>\n<button class='com.whatsapp:id/menuitem_overflow' description='More options'>  </button>\n<p class='com.whatsapp:id/menuitem_search' description='Search'>  </p>\n<p class='com.whatsapp:id/menuitem_camera' description='Camera'>  </p>\n<div class='' > Create call link </div>\n
<p class='com.whatsapp:id/fab' description='New chat'>  </p>\n<button class='com.whatsapp:id/home_tab_layout' description='Calls'> Calls </button>\n<button class='com.whatsapp:id/home_tab_layout' description='Status'> Status </button>\n<button class='com.whatsapp:id/home_tab_layout' description='Community'>  </button>\n<button class='com.whatsapp:id/menuitem_overflow' description='More options'>  </button>\n<p class='com.whatsapp:id/menuitem_search' description='Search'>  </p>\n<p class='com.whatsapp:id/menuitem_camera' description='Camera'>  </p>\n<p class='' description='end-to-end encrypted'>  </p>\n<button class='com.whatsapp:id/contact_photo' description='Yellow'>  </button>\n<button class='com.whatsapp:id/contact_photo' description='Wang Bowen'>  </button>\n,<button class='com.whatsapp:id/home_tab_layout' description='Status'> Status </button>,<p class='com.whatsapp:id/fab' description='New status update'>  </p>\n<p class='com.whatsapp:id/fab_second' description='New text status'>  </p>\n<button class='com.whatsapp:id/home_tab_layout' description='Calls'> Calls </button>\n<button class='com.whatsapp:id/home_tab_layout' description='Chats'> Chats </button>\n<button class='com.whatsapp:id/home_tab_layout' description='Community'>  </button>\n<button class='com.whatsapp:id/menuitem_overflow' description='More options'>  </button>\n<p class='com.whatsapp:id/menuitem_search' description='Search'>  </p>\n<p class='com.whatsapp:id/menuitem_camera' description='Camera'>  </p>\n<p class='' description='end-to-end encrypted'>  </p>\n<button class='' description='You'> My status </button>
<p class='com.whatsapp:id/fab' description='New chat'>  </p>\n<button class='com.whatsapp:id/home_tab_layout' description='Calls'> Calls </button>\n<button class='com.whatsapp:id/home_tab_layout' description='Status'> Status </button>\n<button class='com.whatsapp:id/home_tab_layout' description='Community'>  </button>\n<button class='com.whatsapp:id/menuitem_overflow' description='More options'>  </button>\n<p class='com.whatsapp:id/menuitem_search' description='Search'>  </p>\n<p class='com.whatsapp:id/menuitem_camera' description='Camera'>  </p>\n<p class='' description='end-to-end encrypted'>  </p>\n<button class='com.whatsapp:id/contact_photo' description='Yellow'>  </button>\n<button class='com.whatsapp:id/contact_photo' description='Wang Bowen'>  </button>\n,<button class='com.whatsapp:id/home_tab_layout' description='Community'>  </button>,<button class='com.whatsapp:id/home_tab_layout' description='Calls'> Calls </button>\n<button class='com.whatsapp:id/home_tab_layout' description='Status'> Status </button>\n<button class='com.whatsapp:id/home_tab_layout' description='Chats'> Chats </button>\n<button class='com.whatsapp:id/menuitem_overflow' description='More options'>  </button>\n<p class='com.whatsapp:id/menuitem_camera' description='Camera'>  </p>\n<p class='com.whatsapp:id/menuitem_search' description='Search'>  </p>\n<p class='com.whatsapp:id/empty_community_row_button' > START YOUR COMMUNITY </p>\n<p class='' description='Learn more'>  </p>
<p class='com.whatsapp:id/fab' description='New chat'>  </p>\n<button class='com.whatsapp:id/home_tab_layout' description='Calls'> Calls </button>\n<button class='com.whatsapp:id/home_tab_layout' description='Status'> Status </button>\n<button class='com.whatsapp:id/home_tab_layout' description='Community'>  </button>\n<button class='com.whatsapp:id/menuitem_overflow' description='More options'>  </button>\n<p class='com.whatsapp:id/menuitem_search' description='Search'>  </p>\n<p class='com.whatsapp:id/menuitem_camera' description='Camera'>  </p>\n<p class='' description='end-to-end encrypted'>  </p>\n<button class='com.whatsapp:id/contact_photo' description='Yellow'>  </button>\n<button class='com.whatsapp:id/contact_photo' description='Wang Bowen'>  </button>\n,<button class='com.whatsapp:id/menuitem_overflow' description='More options'>  </button>,<div class='' > Settings </div>\n<div class='' > Starred messages </div>\n<div class='' > Linked devices </div>\n<div class='' > New broadcast </div>\n<div class='' > New group </div>
<p class='com.whatsapp:id/fab' description='New chat'>  </p>\n<button class='com.whatsapp:id/home_tab_layout' description='Calls'> Calls </button>\n<button class='com.whatsapp:id/home_tab_layout' description='Status'> Status </button>\n<button class='com.whatsapp:id/home_tab_layout' description='Community'>  </button>\n<button class='com.whatsapp:id/menuitem_overflow' description='More options'>  </button>\n<p class='com.whatsapp:id/menuitem_search' description='Search'>  </p>\n<p class='com.whatsapp:id/menuitem_camera' description='Camera'>  </p>\n<p class='' description='end-to-end encrypted'>  </p>\n<button class='com.whatsapp:id/contact_photo' description='Yellow'>  </button>\n<button class='com.whatsapp:id/contact_photo' description='Wang Bowen'>  </button>\n,<p class='com.whatsapp:id/menuitem_camera' description='Camera'>  </p>,<button class='com.whatsapp:id/thumb' description='Photo'>  </button>\n<button class='com.whatsapp:id/thumb' description='Photo'>  </button>n\<button class='com.whatsapp:id/thumb' description='Video'>  </button>\n<button class='com.whatsapp:id/thumb' description='Photo'>  </button>\n<button class='com.whatsapp:id/thumb' description='Video'>  </button>\n<div class='' description='Recents'> Recents </div>\n<p class='com.whatsapp:id/more' description='More'>  </p>\n<p class='' description='Back'>  </p>\n<div class='' description='Video'> Video </div>\n<button class='com.whatsapp:id/switch_camera_btn' description='Switch to front camera'>  </button>\n<button class='com.whatsapp:id/gallery_btn' description='Gallery'>  </button>\n<button class='com.whatsapp:id/flash_btn' description='Flash off'>  </button>\n<button class='com.whatsapp:id/close_camera_btn' description='Close'>  </button>
<p class='com.whatsapp:id/fab' description='New chat'>  </p>\n<button class='com.whatsapp:id/home_tab_layout' description='Calls'> Calls </button>\n<button class='com.whatsapp:id/home_tab_layout' description='Status'> Status </button>\n<button class='com.whatsapp:id/home_tab_layout' description='Community'>  </button>\n<button class='com.whatsapp:id/menuitem_overflow' description='More options'>  </button>\n<p class='com.whatsapp:id/menuitem_search' description='Search'>  </p>\n<p class='com.whatsapp:id/menuitem_camera' description='Camera'>  </p>\n<p class='' description='end-to-end encrypted'>  </p>\n<button class='com.whatsapp:id/contact_photo' description='Yellow'>  </button>\n<button class='com.whatsapp:id/contact_photo' description='Wang Bowen'>  </button>\n,<p class='com.whatsapp:id/menuitem_search' description='Search'>  </p>,<p class='com.whatsapp:id/search_poll_filter' > Polls </p>\n<p class='com.whatsapp:id/search_media_filter_doc' > Documents </p>\n<p class='com.whatsapp:id/search_media_filter_audio' > Audio </p>\n<p class='com.whatsapp:id/search_media_filter_gif' > GIFs </p>\n<p class='com.whatsapp:id/search_media_filter_link' > Links </p>\n<p class='com.whatsapp:id/search_media_filter_video' > Videos </p>\n<p class='com.whatsapp:id/search_media_filter_image' > Photos </p>\n<p class='com.whatsapp:id/search_unread_filter' > Unread </p>\n<p class='com.whatsapp:id/search_input' > Search� </p>\n<p class='' description='Back'>  </p>\n<p class='' description='end-to-end encrypted'>  </p>\n<button class='com.whatsapp:id/contact_photo' description='Yellow'>  </button>\n<button class='com.whatsapp:id/contact_photo' description='Wang Bowen'>  </button>
<button id=1 class='' description='Meet'>  </button><div id=2 class='com.google.android.gm:id/compose_button' description='Compose'> Compose </div><div id=3 class='com.google.android.gm:id/open_search' description='Open navigation drawer;;Signed in as Bowen Wang saltyp0rridge20@gmail.comAccount and settings.'> Search in mail    <p> Search in mail </p>    <button id=4 class='com.google.android.gm:id/selected_account_disc_gmail' description='Signed in as Bowen Wang saltyp0rridge20@gmail.comAccount and settings.'>  </button>    <div id=5 class='' description='Open navigation drawer'>  </div> </div>,Action: Click on <button id=4 class='com.google.android.gm:id/selected_account_disc_gmail' description='Signed in as Bowen Wang saltyp0rridge20@gmail.comAccount and settings.'>  </button>,<div id=1 class='com.google.android.gm:id/og_tos_button' > Terms of Service </div><div id=2 class='com.google.android.gm:id/og_privacy_policy_button' > Privacy Policy </div><div id=3 class='com.google.android.gm:id/og_card' > Manage accounts on this device </div><div id=4 class='com.google.android.gm:id/og_card' > Add another account </div><div id=5 class='com.google.android.gm:id/og_card' > Storage used: 18% of 15 GB </div><div id=6 class='com.google.android.gm:id/my_account_chip' > Manage your Google Account </div><button id=7 class='com.google.android.gm:id/account_avatar' description='Change profile picture.'>  </button><button id=8 class='com.google.android.gm:id/og_header_close_button' description='Close'>  </button>
<button id=1 class='' description='Meet'>  </button><div id=2 class='com.google.android.gm:id/compose_button' description='Compose'> Compose </div><div id=3 class='com.google.android.gm:id/open_search' description='Open navigation drawer;;Signed in as Bowen Wang saltyp0rridge20@gmail.comAccount and settings.'> Search in mail    <p> Search in mail </p>    <button id=4 class='com.google.android.gm:id/selected_account_disc_gmail' description='Signed in as Bowen Wang saltyp0rridge20@gmail.comAccount and settings.'>  </button>    <div id=5 class='' description='Open navigation drawer'>  </div> </div>,Action: Click on <div id=5 class='' description='Open navigation drawer'>  </div>,<button id=1 class='' description='Meet'>  </button><div id=2 class='com.google.android.gm:id/compose_button' description='Compose'> Compose </div><div id=3 class='com.google.android.gm:id/open_search' description='Open navigation drawer;;Signed in as Bowen Wang saltyp0rridge20@gmail.comAccount and settings.'> Search in mail    <p> Search in mail </p>    <button id=4 class='com.google.android.gm:id/selected_account_disc_gmail' description='Signed in as Bowen Wang saltyp0rridge20@gmail.comAccount and settings.'>  </button>    <div id=5 class='' description='Open navigation drawer'>  </div> </div>
<button id=1 class='' description='Meet'>  </button><div id=2 class='com.google.android.gm:id/compose_button' description='Compose'> Compose </div><div id=3 class='com.google.android.gm:id/open_search' description='Open navigation drawer;;Signed in as Bowen Wang saltyp0rridge20@gmail.comAccount and settings.'> Search in mail    <p> Search in mail </p>    <button id=4 class='com.google.android.gm:id/selected_account_disc_gmail' description='Signed in as Bowen Wang saltyp0rridge20@gmail.comAccount and settings.'>  </button>    <div id=5 class='' description='Open navigation drawer'>  </div> </div>,Action: Click on <div id=3 class='com.google.android.gm:id/open_search' description='Open navigation drawer;;Signed in as Bowen Wang saltyp0rridge20@gmail.comAccount and settings.'> Search in mail    <p> Search in mail </p> </div>,<div id=1 class='com.google.android.gm:id/hub_drawer_label_container' > Help & feedback </div><div id=2 class='com.google.android.gm:id/hub_drawer_label_container' > Settings </div><div id=3 class='com.google.android.gm:id/hub_drawer_label_container' > Contacts </div><div id=4 class='com.google.android.gm:id/hub_drawer_label_container' > Calendar </div><div id=5 class='com.google.android.gm:id/hub_drawer_label_container' > Notes </div><div id=6 class='com.google.android.gm:id/hub_drawer_label_container' > Trash    <p> 3 </p> </div><div id=7 class='com.google.android.gm:id/hub_drawer_label_container' > Spam    <p> 23 </p> </div><div id=8 class='com.google.android.gm:id/hub_drawer_label_container' > All mail    <p> 53 </p> </div><div id=9 class='com.google.android.gm:id/hub_drawer_label_container' > Drafts </div><div id=10 class='com.google.android.gm:id/hub_drawer_label_container' > Outbox </div><div id=11 class='com.google.android.gm:id/hub_drawer_label_container' > Scheduled </div><div id=12 class='com.google.android.gm:id/hub_drawer_label_container' > Sent </div><div id=13 class='com.google.android.gm:id/hub_drawer_label_container' > Important </div><div id=14 class='com.google.android.gm:id/hub_drawer_label_container' > Snoozed </div><div id=15 class='com.google.android.gm:id/hub_drawer_label_container' > Starred </div><button id=16 class='' description='Meet'>  </button><div id=17 class='com.google.android.gm:id/compose_button' description='Compose'> Compose </div><div id=18 class='com.google.android.gm:id/open_search' description='Open navigation drawer;;Signed in as Bowen Wang saltyp0rridge20@gmail.comAccount and settings.'> Search in mail    <p> Search in mail </p>    <button id=19 class='com.google.android.gm:id/selected_account_disc_gmail' description='Signed in as Bowen Wang saltyp0rridge20@gmail.comAccount and settings.'>  </button>    <div id=20 class='' description='Open navigation drawer'>  </div> </div>
