Task,Back_Staps,All_steps,Ground_Truth_Steps,Recall_Rate
open_the_vpn_edit_profile_to_add_vpn,0,2,2,0
open_the_latest_photo_in_the_google_photos,0,3,3,0
Enable_the_large_mouse_pointer_in_the_Accessibility_settings,0,2,2,0
Set_up_a_rule_to_silence_sounds_during_driving,0,5,5,0
turn_off_the_permission_of_location,0,2,2,0
Turn_on_Airplane_mode_in_the_phone's_settings,0,2,2,0
Show_my_digital_wellbeing_data_of_how_much_time_I_used_my_phone_today,0,2,2,0
open_chrome_privacy_setting,0,3,3,0
Enable_the_'Turn_on_Wi-Fi_automatically'_feature_in_the_phone's_network_preferences,1,5,3,0.4
turn_on_find_my_device,0,3,3,0
Turn_off_location_on_your_phone,0,2,2,0
Automatically_free_up_storage_space,1,6,4,0.333333333
set_default_search_engine_in_the_chrome_app,0,5,5,0
Enable_colour_inversion_in_the_device's_Accessibility_settings,1,10,8,0.2
Enable_Dark_theme_in_the_phone's_display_settings,0,2,2,0
Enable_the_Wi-Fi_hotspot_on_your_phone_for_sharing_the_mobile_connection,0,4,4,0
Turn_'Automatically_sync_my_app_data'_on,0,1,1,0
Open_the_keyboard_sounds_and_vibrations_settings_on_your_phone,6,21,9,0.571428571
Set_screen_lock_to_number_code_'1111'_on_the_phone.,0,9,9,0
stop_showing_notifications_on_the_lock_screen,0,3,3,0
check_storage,0,1,1,0
Turn_on_the_hotspot_on_your_phone,11,26,4,0.846153846
change_site's_camera_permissions_to_blocked_in_the_chrome_app,0,5,5,0
Open_the_date_and_time_settings_on_your_phone,0,3,3,0
Disable_Camera's_permission_access_to_Microphone_in_settings,3,13,7,0.461538462
"Change_phone_unlock_method_to_PIN,_0000",0,7,7,0
Open_the_interrupt_settings_for_the_'Do_Not_Disturb'_mode_on_an_Android_phone,1,7,5,0.285714286
Adjust_the_display_size_to_large_on_the_device,0,4,4,0
Check_available_storage_on_the_phone,0,1,1,0
turn_off_screen_saver,0,5,5,0
Check_if_location_is_turned_on,0,1,1,0
open_the_9_00_alarm,0,3,3,0
Open_the_date_&_time_settings_on_your_phone,0,3,3,0
Open_app_permissions_on_the_phone,0,2,2,0
Turn_on_Bluetooth_on_your_phone,0,3,3,0
turn_data_saver_mode_on,0,4,4,0
Check_if_location_is_on,0,1,1,0
start_a_5_min_timer,0,2,2,0
"Enable_""Usage_&_diagnostics""_in_device_Google_settings.",0,5,5,0
check_for_android_updates_in_system_settings,0,3,3,0
Enable_the_dark_color_scheme_on_your_Android_phone,0,1,1,0
turn_on_priority_inbox_in_the_gmail_app,0,5,5,0
turn_notification_dots_on,0,2,2,0
add_the_'Arabic'_language_in_chrome,0,5,5,0
open_settings_for_sites_in_the_chrome_app,0,6,6,0
Turn_on_Mono_Audio_in_the_Accessibility_Settings,0,5,5,0
turn_on_javascript_in_the_chrome_app,0,5,5,0
